title,price,property_type,location,publication_date,link
S3 bon standing,1 400,App. 4 pièc,El Menzah 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3370720
Appartement s2 meublé au,2 550,App. 3 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390572
Etage de villa s3 fi,1 300,App. 4 pièc,Kheireddine,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390182
S1 spacieux au rdc 850 d,850,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387863
Local 1300 d à ennasr 2,1 300,Surfaces,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3347469
S1 semi meublé,900,App. 2 pièc,Cite Ennasr 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385452
Senia a manzel bouzalfa,700 000,Terrain agr,Menzel Bouzelfa,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3337386
Top appt wifi jardin pri,900,App. 2 pièc,Hergla,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3002190
Terrain  à boumhal,99 840,Terrain nu,Chala,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3255456
S1 rdc d'une villa,800,App. 2 pièc,El Menzah 9,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386592
Terrain le bardo cite mi,1 078 000,Terrain nu,Le Bardo,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3292373
S3 richement meublé,2 000,App. 4 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346140
S2 avenue hedi nouira,1 150,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383187
S1 très lumineux,830,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389579
Villa s7 avec jardin et,4 200,Maisons,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346147
S3 jamais habité avec gr,2 800,Maisons,El Menzah 5,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383205
Appart s2 neuf haut stan,1 500,App. 3 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377492
S1 haut standing meublé,1 400,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389917
Appartement s3  meublé,1 400,App. 4 pièc,El Menzah 7,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389916
Bureau  mrj 4,750,Bureau,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358679
Studio mrj 4,300,Autre,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384828
Appart s3 haut standing,2 200,App. 5 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372058
Villa habitation bureaut,3 000,Maisons,El Menzah 5,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381948
Grande villa semi meublé,4 500,Maisons,Mutuelle Ville,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3354684
Duplex penthouse de très,4 500,Maisons,Mutuelle Ville,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367636
Très bonne opportunité,98 000,Fond de Com,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377514
Appartement mourouj 2,125 000,App. 3 pièc,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386394
Mourouj 4 maison indépendante,500,App. 3 pièc,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386751
Centre de coiffure et es,190 000,Fond de Com,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377493
Un très beau duplex s3,630 000,Duplex,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377516
Apprt mourouj 5,500,App. 3 pièc,El Mourouj,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390445
Studio bur a ennasr,600,Bureau,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3361193
S1 850d jardin del menza,850,App. 2 pièc,Jardins d'el Me,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390018
Etage de villa s plu,1 400,Maisons,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3352166
Ferme  agricole a mo,210 000,Terrain agr,El Ksibi,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390569
Etage de villa s plu,900,Maisons,Ariana,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3362619
Face établissement bouab,1 350,App. 3 pièc,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390571
Appartement a ne pas raté,130 000,App. 1 pièc,Hammam Sousse,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3114188
Terrain agricole  a ne pas ra,280 000,Terrain agr,El Araydhia,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3113420
Appart s1 vienna à a,165 000,App. 1 pièc,Ariana,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390570
Terrain pour villa a ne pas r,780 000,Terrain nu,El Kantaoui,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3113068
