title,price,property_type,location,publication_date,link
Terrain de 2000m2 a la m,150 000,Terrain nu,El Haouaria,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353570
Local industriel sidi rez,11 111,Surfaces,Sidi Rezig,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390597
Appartement 2 chambres hammam,135 000,App. 3 pièc,Hammam Lif,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3354783
Appartement 3chambres salon,180 000,App. 4 pièc,Village Mediter,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3337361
Villa et 2 appartements,580 000,Maisons,Rades,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3323778
appartement s3 avec ab,330 000,App. 1 pièc,Cite Afh,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390596
Villa  jimbaran,880 000,Maisons,Hammamet,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363376
Appartement  louana,650 000,App. 4 pièc,Zone Hoteliere,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3248389
Terrain nu borj touil,680 000,Terrain nu,Borj Touil,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3338275
Villa   la rose,770 000,Maisons,Hammamet,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351187
Maisons borj touil,350 000,Maisons,Borj Touil,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3275697
Terrain nu manouba,221 000,Terrain nu,La Mannouba,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3367350
Villa 2etage borj cedria,600 000,Maisons,Borj Cedria,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3364614
Terrain 460m2 boumhel,4 300 000,Terrain nu,Cite Bou Mhel,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383297
Terrain nu rades,162 000,Terrain nu,Rades,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375446
vacances dune villa en,1,Maisons,Cite Afh,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390595
4600m nu à sidi salah ch,380 000,Terrain nu,Chotrana 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363681
450m chotrana 1 la soukr,225 000,Terrain nu,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363097
4605m chotrana 1 la souk,1 750 000,Terrain nu,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358545
Terrain constructible 21,140 000,Terrain nu,Kalaa El Kebira,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390594
S3 a medina jedida,215 000,App. 4 pièc,Nouvelle Medina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380278
S1 a jardin carthage,1 100,App. 2 pièc,Jardins de Cart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389702
S2 cote ambassade canada,2 000,App. 3 pièc,Berge Du Lac,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386261
S1 meublé a soukra,550,Maisons,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2986014
Luxueux s2 meublé par se,1 550,App. 3 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2966900
S1 totalement meublé,600,App. 1 pièc,La Soukra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3036013
Appartement s1 haut stan,1 100,App. 2 pièc,Sousse Corniche,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3357451
Luxueux s2 neuf meublé à,1 250,App. 3 pièc,Sahloul,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376042
Appartement s2 trés haut,1 800,App. 3 pièc,Sousse Corniche,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3357450
Maison neuve avec jardin,1 650 000,Maisons,Gammart,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390593
Ter 321m2  constructible  zon,241 500,Terrain nu,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3284834
Pour 2 duplex  tr 510m2  angl,500 000,Terrain nu,El Manar 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388344
Appt  s2 haut standing  pl pa,250 000,App. 3 pièc,Ariana,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3355754
Appartement à ezzahra,150 000,App. 3 pièc,Ezzahra,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390592
Local  de 190m,1 300,Surfaces,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380708
Appart s2 derrière monop,1 000,App. 2 pièc,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377017
Local 190m dar fadhal la,1 300,Surfaces,El Aouina,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3380706
Terrains des 300m2 à 500,48 000,Terrain nu,Cite Touristiqu,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351724
S plus 1 richement meubl,1 500,App. 3 pièc,Zone urbaine no,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2879103
Appart vue de mer et mon,1 000,App. 3 pièc,Zone Hoteliere,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2983945
Studio  meublé bien équi,1 500,App. 2 pièc,Zone urbaine no,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2983959
Villa a deux niveaux à l,450 000,App. 5 pièc,Cite Touristiqu,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351725
Maison style arabi ds 33,250 000,App. 4 pièc,Cite Touristiqu,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3351575
Villa neuve des 275m2 a,340 000,Maisons,Cite Touristiqu,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353994
Appartement s1 haut stan,1 200,App. 1 pièc,Chotrana 1,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387804
Appartement lumineux s2,1 700,App. 3 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389670
S3 rdc résidence calme b,580 000,App. 4 pièc,Ain Zaghouan,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388256
Appartement de charme da,1 400,App. 2 pièc,Sidi Daoud,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3387636
Local neuf 27m en plein,1 100,Surfaces,Nabeul,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390591
Appart s1 meublé neuf à,1 250,App. 2 pièc,Cite Ennasr 2,19/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379794
